Mfr Part Number (Input);Quantity 1;Mfr Part Number;Mouser Part Number;Manufacturer Name;Description;Unit Price 1;Order Quantity;Order Unit Price;$81.85
RC0603FR-072K2L;2;$0.10;603-RC0603FR-072K2L;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 2.2K OHM 1%;$0.103;2;$0.103;$0.21
AC0603JR-0727RL;4;$0.10;603-AC0603JR-0727RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10W 27ohm 5% AEC-Q200;$0.103;4;$0.103;$0.41
RC0603JR-07330RP;2;$0.10;603-RC0603JR-07330RP;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 330 ohm 5% 1/10W;$0.103;2;$0.103;$0.21
RC0603JR-07330RP;1;$0.10;603-RC0603JR-07330RP;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 330 ohm 5% 1/10W;$0.103;1;$0.103;$0.10
CR0603-JW-475ELF;1;$0.12;652-CR0603JW-475ELF;Bourns;Thick Film Resistors - SMD Thick Film Resistors - SMD 4.7M ohm 5%;$0.123;1;$0.123;$0.12
AC0603FR-104K7L;6;$0.01;603-AC0603FR-104K7L;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 4.7K ohm 1% 1/10W AEC-Q200;$0.01;6;$0.01;$0.06
RC0603FR-07470RL;1;$0.10;603-RC0603FR-07470RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 470 OHM 1%;$0.103;1;$0.103;$0.10
RC0603FR-07470RL;1;$0.10;603-RC0603FR-07470RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 470 OHM 1%;$0.103;1;$0.103;$0.10
AC0603FR-0747KL;1;$0.10;603-AC0603FR-0747KL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 1/10W 47K ohm 1% AEC-Q200;$0.103;1;$0.103;$0.10
RC0603FR-10680RL;2;$0.10;603-RC0603FR-10680RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 680 OHM 1%;$0.103;2;$0.103;$0.21
RC0603FR-10680RL;1;$0.10;603-RC0603FR-10680RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 680 OHM 1%;$0.103;1;$0.103;$0.10
RC0603FR-1018KL;1;$0.01;603-RC0603FR-1018KL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD 18K ohm 1% 75V General Purpose;$0.01;1;$0.01;$0.01
RT0603FRE073K3L;1;$0.10;603-RT0603FRE073K3L;Yageo;Thin Film Resistors - SMD Thin Film Resistors - SMD 1/10W 3.3K ohm 1% 50ppm;$0.103;1;$0.103;$0.10
RC0603JR-070RL;3;$0.10;603-RC0603JR-070RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD ZERO OHM JUMPER;$0.103;3;$0.103;$0.31
RC0603JR-070RL;2;$0.10;603-RC0603JR-070RL;Yageo;Thick Film Resistors - SMD Thick Film Resistors - SMD ZERO OHM JUMPER;$0.103;2;$0.103;$0.21
SCHD3A0100;1;$1.00;688-SCHD3A0100;ALPS;Memory Card Connectors Memory Card Connectors Slide In-Slide Out Headersmicro SD;;1;;$1.00
219-4MST;1;$0.77;774-2194MST;CTS;DIP Switches / SIP Switches DIP Switches / SIP Switches SPST 4 switch sections;$0.769;1;$0.769;$0.77
ESP-WROOM-32;1;$3.90;356-ESP-WROOM-32;Espressif;WiFi / 802.11 Modules WiFi / 802.11 Modules SMD Module, ESP32-D0WDQ6, 32Mbits SPI flash, UART Mode;$3.90;1;$3.90;$3.90
FT231XS;1;$2.18;895-FT231XS-R;FTDI;USB Interface IC USB Interface IC USB to Full Serial UART IC SSOP-20;$2.18;1;$2.18;$2.18
IS25LP032D-JNLE-TR;1;$1.31;870-IS25LP032DJNLETR;ISSI;NOR Flash NOR Flash 32M QSPI, 8-pin SOP 150mil ET;$1.31;1;$1.31;$1.31
LFE5U-85F-6BG381C;1;$31.73;842-LFE5U85F6BG381C;Lattice;"FPGA - Field Programmable Gate Array FPGA - Field Programmable Gate Array ECP5; 83.6K LUTs; 1.1V";$31.73;1;$31.73;$31.73
MAX11125ATI+;1;$3.16;700-MAX11125ATI+;Maxim Integrated;Analog to Digital Converters - ADC Analog to Digital Converters - ADC 12Bit 8Ch 1Msps Precision ADC;$3.16;1;$3.16;$3.16
MT48LC16M16A2TG-6A;1;$2.28;;;;;;;$2.28
PCA9306D;1;$0.67;771-PCA9306D-T;NXP;Translation - Voltage Levels Translation - Voltage Levels Dual BiDir I2C-Bus & SMBus Vltg Lvl-Trans;$0.666;1;$0.666;$0.67
PCF8523T/1,118;1;$1.29;771-PCF8523T/1118;NXP;Real Time Clock Real Time Clock REAL-TIME CLOCK RTC IC;$1.29;1;$1.29;$1.29
TLV62569DBVR;3;$1.30;595-TLV62569DBVR;Texas Instruments;Switching Voltage Regulators Switching Voltage Regulators 2-A High Efficiency Step-down Buck Converter in SOT23 and SOT563 Package 5-SOT-23 -40 to 125;$1.30;3;$1.30;$3.90
10118192-0001LF;2;$0.45;649-10118192-0001LF;FCI / Amphenol;USB Connectors USB Connectors 5P MICRO USB TYPE B RECEPTACLE;$0.451;2;$0.451;$0.90
LFXTAL003000Reel;1;$0.29;449-LFXTAL003000REEL;IQD Frequency Products;Crystals Crystals 32.7680kHz 8.7 x 3.7 x 2.5mm;$0.288;1;$0.288;$0.29
FNETHE025;1;$1.36;729-FNETHE025;Diodes Incorporated;Standard Clock Oscillators Standard Clock Oscillators 25 MHz, 3.3V CMOS Ethernet;$1.36;1;$1.36;$1.36
